id,ToolName,Tool Description Short,ToolDescription_long,ToolCompany,LibraryInstitution,ParentTool,URL
3,X,,,X Corp,,,
4,Instagram,,,Meta Platforms,,,
5,LinkedIn,,,Microsoft,,,
6,Facebook,,,Meta Platforms,,,
7,Bitwarden,,,Bitwarden Inc.,,,
8,DonorSearch,,,,,,
9,AlumniFinder,,,,,,
10,Ellucian,,,,,,
11,Salesforce,,Ascend is one popular solution but there are others built on top of the Salesforce platform as well,,,,
12,Raiser's Edge NXT,,,Blackbaud,,,
13,ResearchPoint,,,Blackbaud,,,
14,Kaleidoscope,,,,,,
15,Almaconnect,,,,,,
16,MergentOnline,,Replacing the old Mergent Intellect service but does the same thing. Better for public companies.,MergentOnline,University of Utah,,
17,SalesNavigator,,,Microsoft,University of Utah,,
18,Insightful,,,,,,
19,Wallbrook,,,,,,
20,Cotality,,Potentially helpful to understand their data market places and how they sit within the larger landcscape of real estate data brokers however their intended product audience are other companies with cloud infastructure to process real estate data or build apps not direct to consumer. Useful to understand them if one were to attempt to build a competitor to something like iWave and you need to pay for data.,,,,
21,Jira,,,,,,
22,Asana,,,,,,
23,Trello,,,,,,
24,Zendesk,,,,,,
25,ClickUp,,,,,,
26,LexisNexis,,,,,,
27,PowerBI,,,,,,
28,Tableau,,,,,,
30,Excel,,,,,,
31,Google Alerts,,,,,,
32,Talkwalker,,"Hootsuite bought talkwalker in 2024, branding it as ""Hootsuite Listening powered by Talkwalker""",,,,
33,Obsidian,,Useful as a research notebook because of it's features security (offline mode) and searchability within and between notes. The prospect research toolkit will eventually build a plug for Obsidian that is inteded to be helpful for taking notes while researching.,,,,
34,Kindsight,,"$4150 for 1 license, 1500 screens 750 live profiles. 3 users starts at $5350",,,,
35,BVResources.com,,"Has some free items and provides interesting context for market valuation as a field. Business Valuation is a tricky subject in prospect research, because the value of a business does not necessarily reflect any specific wealth in associated individuals - but business valuation research is still valuable for a number of other use-cases beyond capacity and I need to flesh them out on this website. Small, privately held company.",,,,
36,Foundation Directory,,"Many university libraries also have enterprise accounts and other large organizations can get a ""special rate"" but I haven't figured out what that is yet.",,,,
37,EveryAction,,"Bonterra also has a Fundraising and Engagement suite, EveryAction was acquired by Bonterra as part of a broader consolidaiton of nonprofit tech tools led by Bonterra and its investers",,,,
38,Humanitru,,,,,,
39,AIdentified,,,,,,
40,ContactOut,,Chrome extension,,,,
41,White pages,,"Good for phone numbers can be cross-checked with lexis or iWave, people also use usphonebook.com",,,,
42,Hunter.io,,"or emails (or competitors Snov.io or ZeroBounce or Bouncer) but hunter.io has a good free plan 25 searches a month, and 50 email vertifications which is better than rocket reach",,,,
43,Code-fi,,International mentioned on PRSPCT-L,,,,
44,Altrata,,,,,,
45,Xapien,,,,,,
46,Factiva,,Factiva is a business information and research platform that aggregates global news company data and market intelligence from thousands of sources. Corporate subsidiary family trees executive lists and stock information (with links to paperwork) recent news querying and you can follow their source update page to see exactly which sources are being used discontinued etc. Good for big companies where the research question needs to dive in and understand subsidiaries or the overarching nature of the business,,University of Utah,,
47,FactSet Research Systems,,,,,,
